,CanESM5,CESM2,MIROC6,CNRM-CM6-1,GISS-E2-1-G,GISS-E2-1-H,IPSL-CM6A-LR,MRI-ESM2-0
0,4.788204685679717,9.684746929190277,6.6123739663220835,4.8104558643194,5.177971967261529,4.886855427630371,4.280964288655973,6.132280339982659
1,5.356971447009569,8.652739265267888,6.924270928800286,6.016171598351501,5.110915470278893,5.673097224496068,4.854510900652609,6.628108704119356
2,6.4441989838576115,8.978306670911941,7.430031133979771,6.596684466673165,6.0842304852835305,7.703670195531664,5.752801625426668,7.574369085064308
3,7.285499818155069,9.571967528091973,7.769611693161337,7.185387988497085,7.332049984833587,8.32100114096459,6.360686633098993,9.650108559767114
4,8.22915304882318,10.346236755475804,7.9651707728378565,7.781704739966057,9.074019420011163,8.224045602838649,7.170957515077229,10.316117046046983
5,8.535488859454013,10.75574003655241,9.33582817664812,8.51446764908989,9.85553309154631,8.800817525463792,7.824131798641311,10.387671916250955
6,9.532414328041922,11.382997766929657,11.51164693627938,9.614576727308478,9.32808126402577,9.713526030318587,8.668021637321113,11.395207290785082
7,10.502456474600358,11.520756602827595,12.551810951332385,10.090256385849754,10.258288138958596,11.07829075598139,9.478077910217449,12.677185672177142
8,10.790035549307438,12.63466589640505,11.464229290123791,10.680393162741286,11.430433051594566,12.282769125206972,9.833783782532356,13.187380129186884
9,11.166675269857745,13.128472275819764,11.811020517927153,11.814390010105344,11.698315474101424,12.224402520051592,10.826015321327972,13.623277944545032
10,11.927525761416094,13.944014266395929,14.123333920033017,12.154751887376756,12.862443469998814,12.050355710703816,11.214879645315358,14.129956800238206
11,12.298095954052652,14.474936128351453,15.338163197897428,12.604276646708488,14.351887666264444,14.194584215922724,11.488338189938657,15.475665611830307
12,12.339069458859127,15.310753803480399,16.02170185806018,13.138157337845135,14.04727455791178,14.980306684606584,11.734537739146912,15.948912527439582
13,13.178503229263681,15.669116276745168,14.523425537643558,13.693747308548282,14.352787434817776,14.55632744266531,12.4448113438387,16.53442974087529
14,13.611033003913516,16.037097549017133,15.823309782692762,15.520450469316394,15.117400681312374,15.446343762380407,12.692585612979784,18.024192833904532
15,14.30602272176165,16.697691028933896,17.52846522993302,15.526021129215518,15.525040574839707,16.9369445648585,12.694119081744493,18.429238464257885
16,14.449411718509047,17.130617051391578,19.08289070880606,14.849544530287341,16.48762547463592,16.876724329081462,13.71152263773421,17.547657712719314
17,14.513447286786906,17.60307883814302,18.977959439959374,16.50172071370452,18.2264548079646,16.344001823137198,14.159045668523934,18.71019628164579
18,15.591728462011554,17.745399170737027,17.9096217367763,16.945254217742097,18.01117676786991,17.471441815237714,14.237070988092912,20.74258041195895
19,16.16605446188048,18.202684184075732,17.882897178666123,16.827421014146964,18.78746391041855,18.41889784165968,13.915413780034445,21.37657951987307
20,16.646206590027663,18.948592069617234,21.33868848144162,17.237440506117732,20.757833592940358,18.68686419252543,14.244454891625153,21.07728138926138
21,16.915389051870186,20.591778815906068,21.783432953380746,17.895101670412764,20.774904008685613,18.499493336493114,14.886430661018082,20.725468785075243
22,17.22171974832881,20.53559622052294,21.371783114574537,18.46280204521397,20.54005067543306,20.336848553931556,15.245263257575758,22.31515130906291
23,17.207823054690984,20.789066217929538,20.336835501509174,18.37956609779334,22.20707591003259,20.704302996467593,15.536187705333354,23.373385632108555
24,17.669002260985785,21.856697103349944,21.867831981004667,18.76208959699166,21.101141058426187,20.216018816223528,16.04102311388611,23.237059530227288
25,18.644614608730546,22.55631462822934,23.862135933779836,19.81862987376519,22.067612386008918,21.619253790421425,16.878677558896793,23.84202256148141
26,18.947139915347776,22.53317137946865,24.580826269793107,20.952519399235783,24.832381292141694,21.57137020925932,16.719211616387195,24.986466368343958
27,19.26773151506035,22.390051138275602,25.12978819696783,21.031632229873875,25.45588003641603,21.390541113823573,16.84813369452255,26.828896952498333
28,19.422973294686567,23.231457647183788,24.034091433828653,21.00295804424272,24.91322498461683,24.092324693652007,17.24665162148953,26.288988290015773
29,19.970963966743913,24.289786795060014,24.27824661220591,21.680951026532732,25.990104253909877,24.264259179106123,17.005638652974046,26.500966479715327
30,20.687020621163803,24.13546747075818,28.106678752661903,22.19163436020368,26.088079704433504,24.02533287947062,17.19113320446413,27.89362846156791
31,20.949364552810135,25.11340473308178,28.21600901937911,23.705459412166487,27.02844310170358,23.697525791083194,18.29814217318901,30.221353599194423
32,21.709191908362126,25.212664595662755,26.589632781324262,23.2208472965253,29.057251389054155,24.844656406192883,18.267241483519282,29.529180119212644
33,21.853248807329496,26.273505890313988,24.679516878499914,23.396144815517488,27.591827280023264,24.708192904939487,18.863987741197917,30.117823037664348
34,21.50823658958016,26.555463394346724,27.247628383697272,24.659716282999167,28.948417866784617,25.728262789686617,19.501412661660627,30.5981831386476
35,22.55385904842065,26.89416971161317,29.5608139947267,23.661987899853067,30.944266284760467,27.09210292428138,19.89407602339181,31.184184457794217
36,23.048412841044975,26.808858415265426,29.552290998209692,25.17968006103576,30.374901601385254,26.673162822886923,19.950781777644746,30.485591868210925
37,22.782444587167223,27.571060527652804,29.137635344667004,24.878404403044524,29.240432262580153,26.45138132790358,20.397953660566152,33.05423088361015
38,22.810927018598633,28.329611059491803,28.31735948679787,25.17318012445049,30.21194944106733,27.85074810104016,20.64366309707124,33.28044163758347
39,23.840084061195334,28.811964309261548,30.668163507420246,26.141271158368838,33.03283002463663,28.134217127714535,20.98013636317432,32.38205062833269
40,23.87493180262974,28.502660542216752,32.63477461377023,26.11645559009594,33.47926118498135,27.76588991349589,20.444305415460633,33.664493928186246
