,CanESM5,CESM2,CNRM-CM6-1,GISS-E2-1-G,MIROC6,MRI-ESM2-0
71,8052816000.0,16701425000.0,12031698000.0,18156919000.0,11854672000.0,15398565000.0
72,7499409400.0,16531676000.0,12848208000.0,19307560000.0,12167343000.0,13785508000.0
73,7658034000.0,16584869000.0,13169897000.0,17941238000.0,11908549000.0,15671222000.0
74,7898776600.0,16591515000.0,12592023000.0,19355333000.0,11298293000.0,15125103000.0
75,7326663700.0,17459196000.0,12988635000.0,17377765000.0,11400444000.0,15904768000.0
76,6877787000.0,15495046000.0,13584217000.0,18841422000.0,10606297000.0,16034050000.0
77,7870887000.0,16408272000.0,13235379000.0,19062770000.0,11336378000.0,15782327000.0
78,7642860500.0,16292481000.0,12750797000.0,19178383000.0,12058146000.0,15745075000.0
79,6918058000.0,17624787000.0,13115027000.0,18145188000.0,12817091000.0,15513622000.0
80,7516579000.0,16022194000.0,11948791000.0,18688475000.0,11905028000.0,15185154000.0
81,7010287600.0,16975824000.0,12914869000.0,19271279000.0,11596203000.0,14901283000.0
82,7541831700.0,16130300000.0,13655881000.0,18275777000.0,13648086000.0,15425406000.0
83,7278440400.0,17116329000.0,12399796000.0,18123559000.0,12768629000.0,15573930000.0
84,6403079000.0,16933337000.0,12821154000.0,18802958000.0,12720937000.0,15052063000.0
85,6048601000.0,16956295000.0,12615018000.0,20088125000.0,11755375000.0,15708299000.0
86,6926449700.0,16282233000.0,13789525000.0,18802237000.0,13547511000.0,17523915000.0
87,6603640000.0,16496750000.0,13484983000.0,18455660000.0,12767670000.0,16647038000.0
88,7766958000.0,17791064000.0,11828034000.0,18618393000.0,12068421000.0,16875174000.0
89,7290806300.0,18253644000.0,11680594000.0,18511176000.0,11800579000.0,15545608000.0
90,7682684000.0,17809967000.0,13011063000.0,17936032000.0,12580351000.0,15540719000.0
91,7338690600.0,16533271000.0,11723803000.0,19403467000.0,11689816000.0,14696784000.0
92,7403835400.0,15757210000.0,12656429000.0,18648990000.0,12722203000.0,14888234000.0
93,7505229000.0,17373794000.0,13068929000.0,19080118000.0,11852683000.0,16223508000.0
94,6124365000.0,17327727000.0,13143699000.0,19305075000.0,12144813000.0,15487543000.0
95,6094699500.0,16905801000.0,12726244000.0,18025916000.0,12838184000.0,15268405000.0
96,8012505000.0,16583099000.0,13166123000.0,19919660000.0,12603518000.0,15551060000.0
97,7189253000.0,17297689000.0,13833048000.0,18173841000.0,11271545000.0,17416930000.0
98,7511338000.0,16919457000.0,13297967000.0,19751277000.0,12227703000.0,16100960000.0
99,6229967000.0,17958961000.0,14727852000.0,18977751000.0,13927251000.0,14843401000.0
100,7545244700.0,17288622000.0,13572137000.0,19081036000.0,13285155000.0,15113657000.0
101,7618215000.0,17445904000.0,12113373000.0,19212110000.0,11837540000.0,16587261000.0
102,7463916500.0,17677922000.0,13650452000.0,18652877000.0,11461827000.0,16655162000.0
103,8124609500.0,16772712000.0,13120786000.0,18420160000.0,12561335000.0,17063850000.0
104,7720564700.0,17257886000.0,12600973000.0,19523568000.0,14189769000.0,16920401000.0
105,6540672000.0,17484001000.0,11887860000.0,19414772000.0,11607978000.0,15632265000.0
106,8126184400.0,16460547000.0,12370756000.0,18541300000.0,13947655000.0,15244361000.0
107,7532151000.0,17129015000.0,13858162000.0,18999753000.0,12750906000.0,15414300000.0
108,7798744000.0,16973181000.0,13387826000.0,20268489000.0,10327662000.0,14957741000.0
109,7568752600.0,17159711000.0,13185897000.0,19668371000.0,11638896000.0,15006301000.0
110,7414936600.0,17061821000.0,13027314000.0,18445607000.0,11747542000.0,15726838000.0
111,6648532000.0,17102674000.0,13131939000.0,19421274000.0,13043399000.0,16498305000.0
112,7056374000.0,16871177000.0,12512648000.0,20261667000.0,12827807000.0,17361138000.0
113,7436984300.0,17174524000.0,12696019000.0,20012319000.0,12550879000.0,16697392000.0
114,7398915000.0,17429130000.0,13987937000.0,20260657000.0,11312289000.0,15709288000.0
115,7160799000.0,16406094000.0,13625934000.0,20133020000.0,12708562000.0,16075601000.0
116,7423811600.0,17951269000.0,13947658000.0,19778548000.0,13813270000.0,16071657000.0
117,8135752700.0,17946407000.0,12721673000.0,20334127000.0,12527026000.0,16580259000.0
118,7379773400.0,16095169000.0,12714727000.0,19160568000.0,11370265000.0,16788488000.0
119,7269915600.0,16573683000.0,13322853000.0,19656827000.0,12528865000.0,16441269000.0
120,7047143400.0,17968083000.0,12864145000.0,19741792000.0,13064858000.0,15379992000.0
121,6526231600.0,17828114000.0,13763846000.0,19633840000.0,12498659000.0,15818339000.0
122,7346955300.0,16750874000.0,11758462000.0,19527186000.0,12533439000.0,15836505000.0
123,7066289000.0,17881635000.0,13212326000.0,19410663000.0,12749568000.0,16365380000.0
124,7203488000.0,15812181000.0,13361749000.0,20445567000.0,13096664000.0,14899253000.0
125,5920433000.0,16956619000.0,13627102000.0,20420368000.0,13559078000.0,15488723000.0
126,7182896000.0,16967502000.0,12382719000.0,19942040000.0,11936593000.0,17394737000.0
127,6610926600.0,16617568000.0,13589247000.0,20565912000.0,13693158000.0,15879798000.0
128,7875455000.0,17744226000.0,12022561000.0,20963387000.0,12547312000.0,16036028000.0
129,7581633500.0,16997904000.0,12460204000.0,20430182000.0,11987619000.0,16762449000.0
130,7230916600.0,16730241000.0,13697977000.0,19911584000.0,13229255000.0,16183312000.0
131,7247464400.0,17680386000.0,13653886000.0,19721830000.0,13488866000.0,15938227000.0
132,7289182000.0,16646406000.0,13826064000.0,19949867000.0,13016488000.0,15308360000.0
133,6688651300.0,18069447000.0,12468854000.0,20785285000.0,12555929000.0,16534067000.0
134,7188833300.0,17635254000.0,12743508000.0,20261390000.0,13473829000.0,16451654000.0
135,7963994000.0,16826501000.0,12774603000.0,19875936000.0,13661646000.0,17074099000.0
136,7096242000.0,17149580000.0,13243644000.0,20677851000.0,13939075000.0,16095431000.0
137,7417889000.0,17438978000.0,15131817000.0,19695274000.0,11856204000.0,16115483000.0
138,6431814700.0,16988728000.0,12728282000.0,19928576000.0,12176562000.0,15926714000.0
139,7261026300.0,16133531000.0,13626922000.0,19491242000.0,14037472000.0,16395044000.0
140,6245448700.0,17807899000.0,13927596000.0,20104448000.0,13451709000.0,16595005000.0
141,5830019000.0,16868332000.0,13342308000.0,20447760000.0,11923601000.0,15883893000.0
142,7025405000.0,17612595000.0,14316164000.0,19477127000.0,12005333000.0,16213548000.0
143,8342471700.0,16749057000.0,13621433000.0,18995966000.0,11867756000.0,16545897000.0
144,7033782300.0,17110338000.0,12562536000.0,19725285000.0,12487814000.0,16221087000.0
145,8151853000.0,17384933000.0,12496683000.0,19049048000.0,12093657000.0,15714668000.0
146,8222369300.0,17302043000.0,13399988000.0,20346239000.0,13809021000.0,16327355000.0
147,6302100500.0,17279988000.0,14011324000.0,19679932000.0,14569645000.0,15138654000.0
148,6901768000.0,17123185000.0,13696551000.0,19491516000.0,13758460000.0,16223610000.0
149,6822558700.0,17266985000.0,14142173000.0,19239043000.0,13482674000.0,16231526000.0
