,CanESM5,CESM2,CNRM-CM6-1,GISS-E2-1-G,MIROC6,MRI-ESM2-0
0,-1946070000.0,-2204143600.0,-1105912800.0,-5336781000.0,-0.0,-1120671700.0
1,-1711763500.0,112160770.0,-463856640.0,-2662277000.0,-0.0,-1554491400.0
2,-1003237400.0,1027379200.0,101293060.0,-5607252000.0,-0.0,-276340740.0
3,123138050.0,-496664580.0,-126200830.0,-3348951000.0,-0.0,-2033078300.0
4,163975170.0,116031490.0,-651297800.0,-484413440.0,-0.0,-597536800.0
5,892019700.0,1030840300.0,605453300.0,-309684220.0,-0.0,90175490.0
6,175767550.0,-896032800.0,-377156600.0,2892654600.0,-0.0,-50829310.0
7,-434093060.0,186904580.0,561110000.0,4052310000.0,-0.0,2634594300.0
8,2099324900.0,552089600.0,-118967300.0,5005738000.0,-0.0,1707272200.0
9,1640944600.0,571416600.0,1575548900.0,5798633500.0,-0.0,1200910300.0
10,901219300.0,1113163800.0,122445820.0,5691842600.0,-0.0,2852878300.0
11,662054900.0,1133092900.0,-107887620.0,5225029600.0,-0.0,2963073000.0
12,999927800.0,1695074300.0,1284837400.0,3790596000.0,-0.0,3023650800.0
13,652402700.0,3214735400.0,-34302976.0,5437387000.0,-0.0,4173640700.0
14,1005433860.0,1976967200.0,1836318700.0,4300603400.0,-0.0,5553853400.0
15,327895040.0,2597208000.0,538438660.0,3164516400.0,-0.0,5125923000.0
16,501475330.0,2746583000.0,1313167400.0,3285315600.0,-0.0,5286753300.0
17,963679200.0,3468324900.0,1091389400.0,3670614000.0,-0.0,4852278300.0
18,-424986620.0,6303499300.0,1473895400.0,3315581000.0,-0.0,5594432500.0
19,-318138370.0,4401348600.0,1690139600.0,4884220000.0,-0.0,6975001600.0
20,142493700.0,3616403500.0,1790299100.0,3552524300.0,-0.0,7464993000.0
21,788254700.0,4162631700.0,1345886200.0,4482844700.0,-0.0,7510619000.0
22,-313765900.0,4216432600.0,2117453800.0,3773313000.0,-0.0,7275672600.0
23,747729900.0,4416008000.0,4332908500.0,3389421600.0,-0.0,6647021600.0
24,1682503700.0,5935110000.0,2993627100.0,4251641900.0,-0.0,7841468400.0
25,1639579600.0,5434804000.0,3498040300.0,5140672500.0,-0.0,7843921000.0
26,1688608800.0,6575991000.0,3842669600.0,4862525400.0,-0.0,7656719400.0
27,1310893000.0,5913102300.0,5630578700.0,3461763000.0,-0.0,7716508700.0
28,3359136800.0,5146996700.0,3761147000.0,2607100000.0,-0.0,7202115600.0
29,1500670000.0,5989624000.0,5065044000.0,3886174200.0,-0.0,7814718500.0
30,3333650400.0,7754242000.0,5948911600.0,4464863000.0,-0.0,7115363300.0
31,2981246000.0,5551851500.0,4110613500.0,5694324700.0,-0.0,7816856600.0
32,1575937000.0,5757390000.0,6834146300.0,4453085000.0,-0.0,8682235000.0
33,1405733900.0,6699284500.0,6647801000.0,5395607600.0,-0.0,9247727000.0
34,2037381100.0,5769558000.0,6394984400.0,5654618000.0,-0.0,8384460000.0
35,3080404000.0,6301705000.0,4851681300.0,5588181000.0,-0.0,9306764000.0
36,2359921700.0,7402962000.0,6525421600.0,5355892700.0,-0.0,9717835000.0
37,3041183700.0,7683930000.0,4935295000.0,3752509400.0,-0.0,8662400000.0
38,3032385500.0,7405626400.0,6722414600.0,3569219600.0,-0.0,8853124000.0
39,1957685200.0,7217085400.0,4967558000.0,3890272300.0,-0.0,10515002000.0
40,1636443100.0,7079783400.0,5241534500.0,4566728700.0,-0.0,10208871000.0
41,3064794000.0,7089404000.0,6443008000.0,4300140500.0,-0.0,8989072000.0
42,3674961000.0,8051725300.0,5534503000.0,4542589000.0,-0.0,9640608000.0
43,2914492400.0,7056250000.0,7100028400.0,4710830000.0,-0.0,8977797000.0
44,3220709400.0,8186530000.0,6015009000.0,2910517200.0,-0.0,10992059000.0
45,2768753700.0,7306520600.0,6641761300.0,3082967000.0,-0.0,10614346000.0
46,1476131800.0,8324783000.0,8347077000.0,3207530500.0,-0.0,11297519000.0
47,2459296800.0,7612742700.0,7213009400.0,4027582500.0,-0.0,12369616000.0
48,3920904200.0,8494828500.0,7282590000.0,3423805400.0,-0.0,11705243000.0
49,3981675500.0,7720723500.0,7643681300.0,3084306400.0,-0.0,12445596000.0
50,3728047000.0,8931991000.0,6629915600.0,3629768700.0,-0.0,11924776000.0
51,3104016400.0,10615925000.0,7603474000.0,3282233300.0,-0.0,11605564000.0
52,3868153900.0,9332336000.0,8113256000.0,4316258300.0,-0.0,12710214000.0
53,4853661700.0,7997175000.0,7562022400.0,4309815300.0,-0.0,12010610000.0
54,2896603100.0,8699972000.0,7129485000.0,3945525200.0,-0.0,10436103000.0
55,2890707000.0,8601410000.0,7946900000.0,4194353200.0,-0.0,12414816000.0
56,3834559500.0,8185193500.0,6918693400.0,2883100700.0,-0.0,12178334000.0
57,3637772300.0,9462218000.0,7740642000.0,2792151000.0,-0.0,13530237000.0
58,3652398000.0,10004354000.0,7218006500.0,3454314500.0,-0.0,12606599000.0
59,3824743400.0,9929529000.0,8150419000.0,2267734000.0,-0.0,11639209000.0
60,2997690400.0,9285260000.0,7755905500.0,1796128800.0,-0.0,12683065000.0
61,4557440000.0,7385902000.0,7972377000.0,2429511700.0,-0.0,13767873000.0
62,3607326700.0,8898706000.0,7758221000.0,1667145700.0,-0.0,12874519000.0
63,3788216300.0,9159425000.0,9045657000.0,2176548900.0,-0.0,12407728000.0
64,4527527000.0,10769979000.0,8229588500.0,2983319600.0,-0.0,11521623000.0
65,3879401500.0,9252748000.0,9127847000.0,1539534800.0,-0.0,12446814000.0
66,3462137900.0,10779978000.0,8267490000.0,2596571100.0,-0.0,13249722000.0
67,3616637000.0,10027849000.0,7947382300.0,3118874600.0,-0.0,13417578000.0
68,4658316300.0,8485364700.0,8205445600.0,2435481600.0,-0.0,12927990000.0
69,4245550000.0,9700308000.0,7922371000.0,3989252000.0,-0.0,13670212000.0
70,2922955800.0,9554056000.0,9267713000.0,3434786800.0,-0.0,12095133000.0
71,3522902000.0,9846082000.0,9573712000.0,3460247600.0,-0.0,13818937000.0
72,3747090400.0,9822717000.0,8856455000.0,3884791800.0,-0.0,13284622000.0
73,2562347000.0,10664631000.0,7461643000.0,2822500400.0,-0.0,11912330000.0
74,3307738000.0,8852805000.0,8027388400.0,3786897400.0,-0.0,13412856000.0
75,1905719300.0,9801858000.0,7879381500.0,3335729200.0,-0.0,14054142000.0
76,3476772900.0,10015611000.0,6782411000.0,3018664000.0,-0.0,13306092000.0
77,2271721500.0,8362154000.0,7497059000.0,5024196600.0,-0.0,13394176000.0
78,3153744000.0,10146814000.0,7803676000.0,3925508000.0,-0.0,14049264000.0
79,3589430300.0,10264081000.0,7137178000.0,2425901000.0,-0.0,12752374000.0
80,2721794000.0,10126204000.0,7243857400.0,3617792000.0,-0.0,14275056000.0
81,2981088300.0,9025283000.0,7299770000.0,4417552400.0,-0.0,13562851000.0
82,3491632000.0,10133997000.0,6444087300.0,3183566800.0,-0.0,15675486000.0
83,3515306000.0,9743777000.0,7690331600.0,2291243000.0,-0.0,14634793000.0
84,2113130500.0,11052013000.0,5785242600.0,1756602400.0,-0.0,14722900000.0
85,3304683500.0,11518078000.0,6886321700.0,1647085600.0,-0.0,14605160000.0
86,3551877000.0,10806982000.0,7780062700.0,248029180.0,-0.0,14247717000.0
87,3446494200.0,10923417000.0,8387504600.0,732155900.0,-0.0,15103775000.0
88,2634344400.0,11227951000.0,7360375300.0,-310722560.0,-0.0,14118750000.0
