,CanESM5,CESM2,CNRM-CM6-1,GISS-E2-1-G,MIROC6,MRI-ESM2-0
0,13757308000.0,22158811000.0,16545332000.0,29383109000.0,0.0,20517974000.0
1,13523001000.0,19842507000.0,15903276000.0,26708605000.0,0.0,20951794000.0
2,12814475000.0,18927288000.0,15338126000.0,29653580000.0,0.0,19673643000.0
3,11688100000.0,20451332000.0,15565620000.0,27395279000.0,0.0,21430380000.0
4,11647263000.0,19838636000.0,16090717000.0,24530741000.0,0.0,19994840000.0
5,10919218000.0,18923827000.0,14833966000.0,24356012000.0,0.0,19307127000.0
6,11635470000.0,20850700000.0,15816576000.0,21153673000.0,0.0,19448132000.0
7,12245331000.0,19767763000.0,14878309000.0,19994018000.0,0.0,16762708000.0
8,9711913000.0,19402578000.0,15558387000.0,19040590000.0,0.0,17690030000.0
9,10170293000.0,19383250000.0,13863870000.0,18247694000.0,0.0,18196392000.0
10,10910019000.0,18841504000.0,15316974000.0,18354485000.0,0.0,16544424000.0
11,11149183000.0,18821575000.0,15547307000.0,18821298000.0,0.0,16434229000.0
12,10811310000.0,18259593000.0,14154582000.0,20255732000.0,0.0,16373651000.0
13,11158835000.0,16739932000.0,15473722000.0,18608941000.0,0.0,15223662000.0
14,10805804000.0,17977700000.0,13603101000.0,19745724000.0,0.0,13843449000.0
15,11483343000.0,17357460000.0,14900981000.0,20881811000.0,0.0,14271379000.0
16,11309763000.0,17208084000.0,14126252000.0,20761012000.0,0.0,14110549000.0
17,10847559000.0,16486343000.0,14348030000.0,20375714000.0,0.0,14545024000.0
18,12236225000.0,13651168000.0,13965524000.0,20730747000.0,0.0,13802870000.0
19,12129376000.0,15553319000.0,13749280000.0,19162108000.0,0.0,12422301000.0
20,11668744000.0,16338264000.0,13649120000.0,20493804000.0,0.0,11932310000.0
21,11022983000.0,15792036000.0,14093533000.0,19563483000.0,0.0,11886683000.0
22,12125004000.0,15738235000.0,13321966000.0,20273015000.0,0.0,12121630000.0
23,11063508000.0,15538659000.0,11106511000.0,20656906000.0,0.0,12750281000.0
24,10128734000.0,14019557000.0,12445792000.0,19794686000.0,0.0,11555834000.0
25,10171658000.0,14519863000.0,11941379000.0,18905655000.0,0.0,11553381000.0
26,10122629000.0,13378677000.0,11596750000.0,19183802000.0,0.0,11740583000.0
27,10500345000.0,14041565000.0,9808841000.0,20584565000.0,0.0,11680794000.0
28,8452101000.0,14807671000.0,11678273000.0,21439228000.0,0.0,12195187000.0
29,10310568000.0,13965044000.0,10374375000.0,20160154000.0,0.0,11582584000.0
30,8477587500.0,12200425000.0,9490508000.0,19581465000.0,0.0,12281939000.0
31,8829992000.0,14402816000.0,11328806000.0,18352003000.0,0.0,11580446000.0
32,10235301000.0,14197278000.0,8605273000.0,19593243000.0,0.0,10715067000.0
33,10405504000.0,13255383000.0,8791619000.0,18650720000.0,0.0,10149576000.0
34,9773857000.0,14185110000.0,9044435000.0,18391710000.0,0.0,11012842000.0
35,8730834000.0,13652962000.0,10587738000.0,18458147000.0,0.0,10090538000.0
36,9451316000.0,12551706000.0,8913998000.0,18690435000.0,0.0,9679468000.0
37,8770054000.0,12270737000.0,10504124000.0,20293818000.0,0.0,10734902000.0
38,8778852000.0,12549041000.0,8717005000.0,20477108000.0,0.0,10544178000.0
39,9853553000.0,12737582000.0,10471861000.0,20156056000.0,0.0,8882300000.0
40,10174795000.0,12874884000.0,10197885000.0,19479600000.0,0.0,9188431000.0
41,8746444000.0,12865264000.0,8996411000.0,19746187000.0,0.0,10408230000.0
42,8136277000.0,11902942000.0,9904916000.0,19503739000.0,0.0,9756695000.0
43,8896745000.0,12898418000.0,8339391000.0,19335498000.0,0.0,10419505000.0
44,8590529000.0,11768138000.0,9424411000.0,21135810000.0,0.0,8405243000.0
45,9042484000.0,12648147000.0,8797658000.0,20963360000.0,0.0,8782957000.0
46,10335106000.0,11629884000.0,7092342300.0,20838797000.0,0.0,8099783700.0
47,9351941000.0,12341925000.0,8226410000.0,20018745000.0,0.0,7027686400.0
48,7890333700.0,11459839000.0,8156829000.0,20622522000.0,0.0,7692059600.0
49,7829562400.0,12233944000.0,7795738000.0,20962021000.0,0.0,6951707000.0
50,8083191000.0,11022677000.0,8809504000.0,20416560000.0,0.0,7472526300.0
51,8707222000.0,9338743000.0,7835945500.0,20764094000.0,0.0,7791738000.0
52,7943084000.0,10622332000.0,7326163500.0,19730070000.0,0.0,6687089000.0
53,6957576000.0,11957493000.0,7877397000.0,19736513000.0,0.0,7386692600.0
54,8914635000.0,11254696000.0,8309934600.0,20100803000.0,0.0,8961199000.0
55,8920531000.0,11353258000.0,7492519400.0,19851975000.0,0.0,6982486000.0
56,7976678400.0,11769474000.0,8520726000.0,21163227000.0,0.0,7218968600.0
57,8173465600.0,10492450000.0,7698777600.0,21254177000.0,0.0,5867065000.0
58,8158840000.0,9950313000.0,8221413000.0,20592013000.0,0.0,6790702600.0
59,7986494500.0,10025138000.0,7289000400.0,21778594000.0,0.0,7758093300.0
60,8813548000.0,10669407000.0,7683514000.0,22250200000.0,0.0,6714237000.0
61,7253798000.0,12568765000.0,7467042300.0,21616816000.0,0.0,5629430300.0
62,8203911000.0,11055961000.0,7681198600.0,22379182000.0,0.0,6522783000.0
63,8023021600.0,10795242000.0,6393763000.0,21869779000.0,0.0,6989573600.0
64,7283711000.0,9184688000.0,7209831000.0,21063008000.0,0.0,7875679000.0
65,7931836400.0,10701919000.0,6311572500.0,22506793000.0,0.0,6950488600.0
66,8349100000.0,9174690000.0,7171929600.0,21449757000.0,0.0,6147579400.0
67,8194601000.0,9926819000.0,7492037000.0,20927453000.0,0.0,5979724300.0
68,7152921600.0,11469303000.0,7233974000.0,21610846000.0,0.0,6469312500.0
69,7565688000.0,10254360000.0,7517048300.0,20057076000.0,0.0,5727090000.0
70,8888282000.0,10400611000.0,6171706400.0,20611540000.0,0.0,7302169600.0
71,8288336000.0,10108586000.0,5865707500.0,20586080000.0,0.0,5578365000.0
72,8064147500.0,10131951000.0,6582964000.0,20161536000.0,0.0,6112680400.0
73,9248891000.0,9290036000.0,7977776600.0,21223827000.0,0.0,7484972000.0
74,8503500000.0,11101863000.0,7412031000.0,20259430000.0,0.0,5984446000.0
75,9905519000.0,10152809000.0,7560038000.0,20710599000.0,0.0,5343160300.0
76,8334465000.0,9939057000.0,8657009000.0,21027664000.0,0.0,6091211000.0
77,9539516000.0,11592514000.0,7942360600.0,19022131000.0,0.0,6003126300.0
78,8657494000.0,9807854000.0,7635743000.0,20120820000.0,0.0,5348038700.0
79,8221807600.0,9690586000.0,8302241300.0,21620427000.0,0.0,6644929000.0
80,9089444000.0,9828464000.0,8195562000.0,20428536000.0,0.0,5122246000.0
81,8830150000.0,10929384000.0,8139649500.0,19628775000.0,0.0,5834451000.0
82,8319606000.0,9820671000.0,8995332000.0,20862760000.0,0.0,3721815600.0
83,8295932000.0,10210891000.0,7749087700.0,21755085000.0,0.0,4762510000.0
84,9698107000.0,8902655000.0,9654177000.0,22289725000.0,0.0,4674403000.0
85,8506554400.0,8436589600.0,8553097700.0,22399242000.0,0.0,4792142000.0
86,8259361000.0,9147686000.0,7659356700.0,23798299000.0,0.0,5149585400.0
87,8364743700.0,9031251000.0,7051915000.0,23314172000.0,0.0,4293527000.0
88,9176893000.0,8726716000.0,8079044000.0,24357050000.0,0.0,5278552600.0
89,8825959000.0,8844342000.0,6992838000.0,24153618000.0,0.0,5324082700.0
90,8528359400.0,8839804000.0,9227727000.0,23642503000.0,0.0,3948894200.0
91,8792428000.0,8430654500.0,7226904000.0,24140186000.0,0.0,3947640300.0
92,8558875600.0,9951177000.0,8107257300.0,24280037000.0,0.0,5021475000.0
93,8275451000.0,10216671000.0,6864491000.0,24179943000.0,0.0,5379029500.0
94,8434760700.0,9208708000.0,9031896000.0,24979309000.0,0.0,3553182200.0
