,CanESM5,CESM2,CNRM-CM6-1,GISS-E2-1-G,MIROC6,MRI-ESM2-0
76,13043037000.0,25053223000.0,19414192000.0,0.0,21184858000.0,23852840000.0
77,12260790000.0,24657242000.0,19705320000.0,0.0,21009040000.0,22837205000.0
78,12726328000.0,23843666000.0,18773390000.0,0.0,20473178000.0,22868760000.0
79,13093592000.0,24647162000.0,20040137000.0,0.0,19052478000.0,20790008000.0
80,12408139000.0,23952206000.0,20171114000.0,0.0,19476330000.0,24650770000.0
81,12945317000.0,24078858000.0,20070033000.0,0.0,18964716000.0,22016457000.0
82,12999005000.0,24168421000.0,18816637000.0,0.0,18424000000.0,23985980000.0
83,12989993000.0,24281962000.0,19581440000.0,0.0,19791292000.0,22264715000.0
84,12696899000.0,23762418000.0,19281721000.0,0.0,20028615000.0,22855981000.0
85,11791807000.0,25332128000.0,18128787000.0,0.0,19029723000.0,23513119000.0
86,12729693000.0,23622908000.0,19359689000.0,0.0,19731024000.0,23717612000.0
87,13051323000.0,22766270000.0,17737017000.0,0.0,19865602000.0,24172085000.0
88,11958191000.0,23508967000.0,18517694000.0,0.0,20017828000.0,23169900000.0
89,12159533000.0,24199023000.0,18577250000.0,0.0,19924374000.0,23686031000.0
90,12961952000.0,25343883000.0,18931681000.0,0.0,18659967000.0,20373680000.0
91,11993820000.0,23716289000.0,16806071000.0,0.0,18931634000.0,21138313000.0
92,12281893000.0,22033375000.0,17592107000.0,0.0,18691463000.0,20639547000.0
93,12103083000.0,22523435000.0,18598685000.0,0.0,19402893000.0,20501330000.0
94,11685843000.0,23282780000.0,15952166000.0,0.0,20123685000.0,21516495000.0
95,12301745000.0,23810177000.0,16017241000.0,0.0,19409172000.0,22495803000.0
96,13012614000.0,24259090000.0,15869485000.0,0.0,19065176000.0,21743874000.0
97,12950794000.0,23982107000.0,16061111000.0,0.0,18950961000.0,22277904000.0
98,12707399000.0,22908447000.0,17238014000.0,0.0,18546608000.0,22802178000.0
99,14623535000.0,24132092000.0,15928738000.0,0.0,17858070000.0,23674124000.0
