,CanESM5,CESM2,CNRM-CM6-1,GISS-E2-1-G,MIROC6,MRI-ESM2-0
71,3533814000.0,2773618000.0,3289788400.0,4454767000.0,4855001000.0,2019052200.0
72,4087220000.0,2943366000.0,2473279000.0,3304123600.0,4542330000.0,3632110000.0
73,3928595700.0,2890173200.0,2151589400.0,4670448000.0,4801124000.0,1746395000.0
74,3687853300.0,2883528000.0,2729463800.0,3256352500.0,5411380000.0,2292515300.0
75,4259965700.0,2015846100.0,2332851200.0,5233920000.0,5309229000.0,1512849300.0
76,4708842500.0,3979996000.0,1737269600.0,3770264300.0,6103376000.0,1383567000.0
77,3715742500.0,3066770200.0,2086106800.0,3548916000.0,5373294000.0,1635290200.0
78,3943769300.0,3182561000.0,2570690000.0,3433301200.0,4651527000.0,1672542300.0
79,4668571600.0,1850254800.0,2206459400.0,4466497500.0,3892583000.0,1903995500.0
80,4070051000.0,3452847900.0,3372695600.0,3923211000.0,4804645000.0,2232462800.0
81,4576342000.0,2499218200.0,2406617000.0,3340407800.0,5113470000.0,2516335000.0
82,4044797700.0,3344742700.0,1665606000.0,4335909400.0,3061587000.0,1992211300.0
83,4308189000.0,2358713000.0,2921689600.0,4488127000.0,3941044200.0,1843687300.0
84,5183550500.0,2541705000.0,2500332000.0,3808728000.0,3988735500.0,2365554700.0
85,5538028500.0,2518747000.0,2706467800.0,2523559200.0,4954298000.0,1709318300.0
86,4660180000.0,3192809200.0,1531961200.0,3809448700.0,3162162200.0,-106297980.0
87,4982990000.0,2978292500.0,1836502900.0,4156024000.0,3942002200.0,770579600.0
88,3819671300.0,1683978200.0,3493453300.0,3993293800.0,4641252400.0,542444000.0
89,4295823400.0,1221397500.0,3640892000.0,4100509700.0,4909094000.0,1872009100.0
90,3903946000.0,1665075700.0,2310423000.0,4675652600.0,4129322000.0,1876899000.0
91,4247938800.0,2941772000.0,3597683200.0,3208219000.0,5019857000.0,2720833000.0
92,4182794500.0,3717832400.0,2665057300.0,3962695000.0,3987470300.0,2529383400.0
93,4081400600.0,2101247700.0,2252556800.0,3531566800.0,4856989000.0,1194108800.0
94,5462265000.0,2147315500.0,2177787400.0,3306610700.0,4564860000.0,1930073700.0
95,5491930000.0,2569241300.0,2595242000.0,4585769500.0,3871489000.0,2149211600.0
96,3574124300.0,2891942700.0,2155363300.0,2692027400.0,4106155000.0,1866557300.0
97,4397376500.0,2177353500.0,1488438100.0,4437845000.0,5438128000.0,688896.0
98,4075291400.0,2555585300.0,2023519100.0,2860408000.0,4481969700.0,1316656800.0
99,5356663000.0,1516080100.0,593634400.0,3633934300.0,2782422000.0,2574216200.0
100,4041384700.0,2186421000.0,1749349200.0,3530649300.0,3424517600.0,2303960000.0
101,3968414500.0,2029138700.0,3208112600.0,3399576300.0,4872132600.0,830356600.0
102,4122712800.0,1797119000.0,1671033500.0,3958808300.0,5247846400.0,762455200.0
103,3462020000.0,2702330000.0,2200699400.0,4191524000.0,4148337700.0,353767940.0
104,3866064600.0,2217157400.0,2720513500.0,3088117000.0,2519904300.0,497216770.0
105,5045957600.0,1991041300.0,3433626600.0,3196913700.0,5101694500.0,1785352100.0
106,3460445400.0,3014495500.0,2950730800.0,4070385400.0,2762017800.0,2173256700.0
107,4054478600.0,2346027300.0,1463324300.0,3611932000.0,3958766600.0,2003317400.0
108,3787885300.0,2501861000.0,1933660000.0,2343196000.0,6382011400.0,2459876400.0
109,4017876700.0,2315331300.0,2135588700.0,2943314000.0,5070777300.0,2411316200.0
110,4171693300.0,2413220600.0,2294172200.0,4166078200.0,4962131000.0,1690779500.0
111,4938097700.0,2372368100.0,2189547500.0,3190410500.0,3666274300.0,919312260.0
112,4530256000.0,2603865300.0,2808838100.0,2350019300.0,3881866200.0,56478720.0
113,4149645600.0,2300518700.0,2625467400.0,2599366100.0,4158793700.0,720225400.0
114,4187714300.0,2045912800.0,1333548700.0,2351028500.0,5397384000.0,1708329100.0
115,4425830400.0,3068948200.0,1695552100.0,2478664700.0,4001111000.0,1342016400.0
116,4162817800.0,1523772400.0,1373828500.0,2833138200.0,2896403500.0,1345960100.0
117,3450877000.0,1528635600.0,2599813000.0,2277558000.0,4182646800.0,837358200.0
118,4206856000.0,3379873500.0,2606759000.0,3451117800.0,5339408400.0,629129100.0
119,4316714000.0,2901359400.0,1998632600.0,2954859300.0,4180807200.0,976348300.0
120,4539486000.0,1506960400.0,2457340400.0,2869892400.0,3644815400.0,2037625500.0
121,5060398000.0,1646927900.0,1557640100.0,2977845000.0,4211013000.0,1599278200.0
122,4239674600.0,2724168400.0,3563024400.0,3084498700.0,4176233500.0,1581111900.0
123,4520340500.0,1593406700.0,2109160800.0,3201021200.0,3960104400.0,1052238200.0
124,4383142000.0,3662861000.0,1959737700.0,2166119000.0,3613009000.0,2518363600.0
125,5666196500.0,2518423300.0,1694383700.0,2191316700.0,3150595000.0,1928894100.0
126,4403733500.0,2507540700.0,2938767400.0,2669646800.0,4773080000.0,22879616.0
127,4975703000.0,2857473800.0,1732239000.0,2045773300.0,3016514600.0,1537819300.0
128,3711175000.0,1730815500.0,3298925600.0,1648297900.0,4162360800.0,1381588900.0
129,4004995800.0,2477137700.0,2861282300.0,2181503700.0,4722054000.0,655168100.0
130,4355713000.0,2744801000.0,1623508900.0,2700102000.0,3480418800.0,1234304900.0
131,4339165000.0,1794655500.0,1667600300.0,2889855200.0,3220806700.0,1479390300.0
132,4297447400.0,2828636400.0,1495421600.0,2661817600.0,3693185000.0,2109257900.0
133,4897978400.0,1405595900.0,2852632600.0,1826399400.0,4153744400.0,883549800.0
134,4397796400.0,1839787300.0,2577978400.0,2350294800.0,3235844000.0,965963400.0
135,3622635300.0,2648541400.0,2546883000.0,2735748400.0,3048027100.0,343517950.0
136,4490387500.0,2325462300.0,2077842000.0,1933834800.0,2770598000.0,1322186400.0
137,4168741000.0,2036065000.0,189669630.0,2916411100.0,4853469000.0,1302134700.0
138,5154815000.0,2486313700.0,2593204200.0,2683109000.0,4533110300.0,1490903200.0
139,4325603300.0,3341511400.0,1694564200.0,3120443400.0,2672200700.0,1022573200.0
140,5341181000.0,1667142900.0,1393890200.0,2507238100.0,3257963500.0,822611600.0
141,5756610600.0,2606711000.0,1979178400.0,2163924000.0,4786071000.0,1533724500.0
142,4561224700.0,1862447600.0,1005321860.0,3134558200.0,4704339500.0,1204069200.0
143,3244158200.0,2725985500.0,1700052900.0,3615718700.0,4841917400.0,871720300.0
144,4552847400.0,2364705000.0,2758950400.0,2886399700.0,4221858800.0,1196530800.0
145,3434776800.0,2090109700.0,2824803300.0,3562636500.0,4616016000.0,1702949800.0
146,3364260400.0,2172999400.0,1921497700.0,2265446100.0,2900652000.0,1090262100.0
147,5284529000.0,2195054300.0,1310161500.0,2931753200.0,2140027600.0,2278963700.0
148,4684861400.0,2351857400.0,1624935300.0,3120168000.0,2951213000.0,1194007900.0
149,4764071000.0,2208058000.0,1179313000.0,3372641500.0,3226998800.0,1186091400.0
